epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7124,1.54505,3.39916,1.17323,0.51117,0.16036,0.12005,0.07033,1.48085,2.19468,1.175,0.000132544,0.000132544,0.000132544
2,26.62,1.46107,2.20139,1.15933,0.53255,0.20426,0.1953,0.11883,1.4071,1.76784,1.15537,0.000260613,0.000260613,0.000260613
3,38.3481,1.45994,1.97374,1.15909,0.55012,0.21233,0.2064,0.12348,1.42451,1.7313,1.16015,0.000383402,0.000383402,0.000383402
4,49.8795,1.4091,1.83296,1.14676,0.554,0.2703,0.25193,0.14989,1.40808,1.64703,1.15169,0.00037624,0.00037624,0.00037624
5,61.8431,1.38443,1.74559,1.12722,0.58317,0.27319,0.25483,0.15539,1.33393,1.48736,1.10594,0.00036832,0.00036832,0.00036832
6,73.6104,1.373,1.65209,1.11994,0.62742,0.28805,0.28522,0.17146,1.38332,1.55561,1.15318,0.0003604,0.0003604,0.0003604
7,85.9731,1.34783,1.58263,1.11347,0.64121,0.27457,0.28719,0.16981,1.38973,1.52947,1.15276,0.00035248,0.00035248,0.00035248
8,97.72,1.33763,1.54745,1.11346,0.60101,0.28464,0.29362,0.17385,1.4092,1.41852,1.14542,0.00034456,0.00034456,0.00034456
9,109.483,1.3281,1.50063,1.10166,0.57649,0.30975,0.30681,0.19051,1.35779,1.44192,1.11442,0.00033664,0.00033664,0.00033664
10,121.312,1.32906,1.47072,1.10506,0.58745,0.29361,0.29461,0.17675,1.36463,1.40551,1.11059,0.00032872,0.00032872,0.00032872
11,133.307,1.30335,1.41435,1.08722,0.6558,0.2794,0.29944,0.17545,1.38906,1.49028,1.14145,0.0003208,0.0003208,0.0003208
12,144.897,1.29679,1.40118,1.08775,0.64274,0.29199,0.30828,0.18631,1.3477,1.39592,1.10836,0.00031288,0.00031288,0.00031288
13,156.493,1.27994,1.35052,1.08028,0.62855,0.31902,0.31367,0.19138,1.28668,1.38589,1.09054,0.00030496,0.00030496,0.00030496
14,172.049,1.28093,1.33306,1.07879,0.684,0.29354,0.32489,0.19534,1.31093,1.4003,1.10308,0.00029704,0.00029704,0.00029704
15,183.985,1.2776,1.32169,1.07404,0.67998,0.31438,0.35237,0.21032,1.3669,1.31205,1.11745,0.00028912,0.00028912,0.00028912
16,195.644,1.2579,1.29232,1.07121,0.5756,0.37463,0.37633,0.22965,1.37074,1.3438,1.11953,0.0002812,0.0002812,0.0002812
17,207.483,1.27141,1.28343,1.07007,0.61999,0.31904,0.34669,0.21075,1.3266,1.30786,1.11034,0.00027328,0.00027328,0.00027328
18,218.907,1.24386,1.25358,1.06748,0.67783,0.31493,0.36301,0.2205,1.29543,1.31055,1.0909,0.00026536,0.00026536,0.00026536
19,230.424,1.25363,1.24388,1.06185,0.65524,0.31768,0.35139,0.21046,1.36363,1.26271,1.11548,0.00025744,0.00025744,0.00025744
20,243.917,1.24844,1.22035,1.06323,0.54811,0.36702,0.36358,0.21948,1.32776,1.32299,1.11332,0.00024952,0.00024952,0.00024952
21,255.507,1.22169,1.19425,1.05396,0.60825,0.3505,0.37878,0.23232,1.38401,1.32169,1.1294,0.0002416,0.0002416,0.0002416
22,268.67,1.2174,1.18611,1.0491,0.56043,0.32417,0.35428,0.21704,1.29846,1.24197,1.0909,0.00023368,0.00023368,0.00023368
23,280.584,1.23171,1.16896,1.05118,0.61406,0.34283,0.39231,0.2421,1.34487,1.25826,1.10871,0.00022576,0.00022576,0.00022576
24,294.005,1.21384,1.1484,1.04656,0.68088,0.32087,0.37887,0.23533,1.3353,1.27624,1.09795,0.00021784,0.00021784,0.00021784
25,305.759,1.19852,1.13993,1.04021,0.64319,0.3242,0.35557,0.21444,1.3507,1.33178,1.11007,0.00020992,0.00020992,0.00020992
26,317.351,1.21584,1.13827,1.04556,0.60376,0.33012,0.36575,0.22095,1.3711,1.27049,1.12042,0.000202,0.000202,0.000202
27,328.752,1.1969,1.10324,1.03866,0.75381,0.29975,0.39002,0.24738,1.30761,1.26873,1.09011,0.00019408,0.00019408,0.00019408
28,340.552,1.18862,1.09959,1.03259,0.49972,0.38233,0.36725,0.22464,1.34052,1.2282,1.11069,0.00018616,0.00018616,0.00018616
29,352.108,1.19396,1.09884,1.03797,0.64156,0.31327,0.36223,0.21848,1.31531,1.26474,1.10049,0.00017824,0.00017824,0.00017824
30,363.662,1.19095,1.07917,1.0339,0.65135,0.34175,0.40655,0.24803,1.33039,1.23829,1.1034,0.00017032,0.00017032,0.00017032
31,12.6202,1.19336,1.07457,1.03339,0.60905,0.34009,0.38122,0.23355,1.31578,1.22325,1.08911,0.0001624,0.0001624,0.0001624
32,24.1896,1.14972,1.04428,1.01979,0.60974,0.35612,0.4009,0.24986,1.32298,1.26569,1.09629,0.00015448,0.00015448,0.00015448
33,35.7202,1.16743,1.04589,1.02415,0.56492,0.39483,0.38274,0.23691,1.28676,1.2383,1.08493,0.00014656,0.00014656,0.00014656
34,47.5561,1.1439,1.01839,1.02054,0.55479,0.33907,0.38587,0.23178,1.3041,1.20346,1.09158,0.00013864,0.00013864,0.00013864
35,59.1937,1.14202,1.01809,1.01657,0.49144,0.43736,0.38547,0.23777,1.30625,1.24292,1.0934,0.00013072,0.00013072,0.00013072
36,70.8124,1.13721,0.99848,1.01252,0.64322,0.33006,0.40278,0.25742,1.31521,1.2267,1.09314,0.0001228,0.0001228,0.0001228
37,83.0839,1.1253,0.98875,1.00859,0.57659,0.40227,0.41242,0.26222,1.29917,1.19426,1.08625,0.00011488,0.00011488,0.00011488
38,94.7901,1.12399,0.98024,1.0126,0.57009,0.40446,0.40987,0.25344,1.34182,1.21086,1.10331,0.00010696,0.00010696,0.00010696
39,106.359,1.11649,0.97533,1.00721,0.53395,0.42229,0.38292,0.23834,1.30229,1.22745,1.09214,9.904e-05,9.904e-05,9.904e-05
40,118.207,1.12048,0.96449,1.00944,0.5992,0.38191,0.4059,0.2531,1.31741,1.2071,1.09777,9.112e-05,9.112e-05,9.112e-05
41,130.96,1.14749,0.97006,1.00841,0.56364,0.37767,0.40367,0.25099,1.29738,1.25951,1.0896,8.32e-05,8.32e-05,8.32e-05
42,142.415,1.12083,0.93391,0.99861,0.5829,0.38888,0.40487,0.25355,1.3205,1.22419,1.10092,7.528e-05,7.528e-05,7.528e-05
43,153.82,1.11343,0.91235,0.99108,0.57562,0.38946,0.40074,0.25103,1.32107,1.24387,1.10121,6.736e-05,6.736e-05,6.736e-05
44,165.167,1.10238,0.90795,0.99112,0.61104,0.35981,0.40313,0.25603,1.29004,1.2196,1.09052,5.944e-05,5.944e-05,5.944e-05
45,176.887,1.10467,0.89748,0.98819,0.60649,0.38331,0.40845,0.25145,1.33149,1.22917,1.10237,5.152e-05,5.152e-05,5.152e-05
46,188.482,1.0999,0.89384,0.98504,0.5714,0.3927,0.39942,0.24985,1.31922,1.2396,1.10547,4.36e-05,4.36e-05,4.36e-05
47,200.02,1.08698,0.88278,0.98207,0.59399,0.38138,0.40921,0.25629,1.31796,1.23128,1.09952,3.568e-05,3.568e-05,3.568e-05
48,214.812,1.08618,0.87567,0.98359,0.60129,0.37683,0.40553,0.25438,1.31972,1.2278,1.10355,2.776e-05,2.776e-05,2.776e-05
49,229.632,1.08969,0.87895,0.98652,0.63439,0.36663,0.4099,0.25802,1.30999,1.20625,1.09906,1.984e-05,1.984e-05,1.984e-05
50,244.274,1.0768,0.86246,0.97766,0.64515,0.35642,0.40964,0.25608,1.3131,1.20697,1.10114,1.192e-05,1.192e-05,1.192e-05
